Influencer Name,Video URL,Advertisement Text,Product,Start Time,End Time,Expected Product,Match,Inference,Ad Naturalness,Persuasiveness,Trustworthiness,Ad Length & Placement,Engagement,Ad Classification
Ali Abdaal,https://www.youtube.com/watch?v=qWMK16uYQbU,now trading 212 is a fantastic app that allows you to invest in basically anything in a sensible fashion and there's a couple cool things about it firstly it's got like a practice mode where you can invest and trade with fake money so if you're new to the world of investing and you don't like the idea of like putting real money on the line you can invest with fake money and then it actually tracks what the markets are doing in real time so you can see how much money you would have made or you would have lost but my favorite part about it is that it makes it super easy to invest in index funds as you guys know if you've seen any of my videos about money I do not recommend trying to pick your own stocks but instead investing in Broad stock market index funds which have really low fees for example something like the S P 500 which basically gives you a small percentage ownership of the top 500 companies in the US now if you're based in the UK in particular you should definitely open up an Isa an individual savings account pounds and this is a tax-free wrapper where every year you can put up to twenty thousand pounds into one of these Isis and actually trading 212 have a new deal whereby if you open up an Isa and you put any amount of money into it they will give you one percent cash back on that money so you're literally making free money on top of the ISA so if you're based in the UK and you've been putting off opening an eye sell them this is the perfect time to do it either way whether you want to open an ISO or just a normal trading account you can head over to trading212.com or you can download the app on the App Store and if you use the coupon code Ali Ali when they ask you that will give you a free share which is worth up to 100 pounds so you're literally getting free money you might as well do it so thank you so much trading 212 for sponsoring this video,trading 212,06:39,07:53,trading 212,Yes,The influencer explicitly mentions and promotes trading 212 throughout the advertisement section.  The product name is clearly stated multiple times.,8,7,9,8,7,Good
Ali Abdaal,https://www.youtube.com/watch?v=c_DOG_mXz5w,"if you interested in investing your money then you might like to check out trading 212 who are very kindly sponsoring this video trading 212 is a fantastic app that lets you invest in stocks and shares and funds in a very easy and commission free fashion and they've got a bunch of features which are super helpful which is why I personally use trading 212 to manage a portion of my portfolio so firstly they've got a really nice pies feature pies are really cool because what you can do is there's people all around the world who are professionals or superint Investments and stuff and what they do is that they create a pi which is which is basically a basket of stocks and shares and funds and then you can browse all the different pies and you can see how they've performed over time now obviously the thing that most people recommend when it comes to investing is to invest in Diversified index funds like the S&P 500 which you can also do with trading 2 on2 but if you're using a portion of your portfolio to be a bit more experimental like I like to do with like 5% of my portfolios so let's say you were investing1 into someone's p and that P had 50% allocation for Tesla and 50% for Apple it would mean £50 gets invested in Tesla £50 gets invested in apple and you can also create your own pie with your own asset allocation and share it on the app if you want they've also recently added support from multicurrency accounts which is super helpful if you're investing like I do in the US Stock Market you don't then get hit with foreign exchange fees and if you have an invest or an Isa account then trading 212 also gives you daily interest on your uninvested cash in pounds Euros or US dollars they are also highly highly reputable they've got over 23,000 trust pilot reviews with an average rating of 4.6 Stars which is pretty insane now if any of that signs up your street and you would like to sign up then you can hit the link in the video description and if you use that link you will even get up to 00 in a totally free share so it's free money you might as well sign up so thank you so much trading 212 for sponsoring this video",trading 212,05:23,07:06,trading 212,Yes,"The influencer explicitly mentions and describes the features of ""trading 212"" multiple times, clearly indicating the advertised product.",8,7,9,7,8,Good
Ali Abdaal,https://www.youtube.com/watch?v=VpN78TXMSUM,"one way to improve your mental health and well-being is through therapy provided by BetterHelp, who are the very kind paid partners of this video. BetterHelp is the world's largest therapy service and it's 100% online with BetterHelp you can tap into a network of over 30,000 credentialed and experienced therapists who can help you with a wide range of issues. It's a platform that makes finding a therapist easy because it's online, it's remote and by filling out a few questions BetterHelp can match you to a credential therapist very quickly. Then you can talk to your therapist however you feel comfortable whether it's via message or chat or phone or video call. Regardless of whether you have a clinical mental health issue like depression or anxiety or if you are just a human who lives in the world who's going through a hard time, therapy can give you the tools to approach your life in a very different way. You can message your therapist at any time and schedule live sessions whenever it's convenient for you and if your therapist isn't the right fit for any reason you can switch to a new therapist for no additional charge. So let BetterHelp connect you to a therapist who can support you all from the comfort of your own home. So if that sounds good you can check out betterhelp.com/AliAbdaal which will be linked down below as well or you can enter my name Ali Abdaal during the sign-up process and that will give you an exclusive discount. So thank you BetterHelp for being the paid partner in this video and let's get back to it.",BetterHelp,05:19,06:25,BetterHelp,Yes,"The ad explicitly mentions BetterHelp multiple times and provides details about the service, including a website address and a discount code.",8,7,8,7,6,Moderate
Ali Abdaal,https://www.youtube.com/watch?v=Qc6pdR8BhFA,oh by the way if you are enjoying this video so far and you might like to start your own business someday then a great resource to use is Shopify who are very kindly sponsoring this video if you didn't know Shopify is a wonderful Commerce platform that allows you to start and grow and manage a business Shopify Powers entrepreneurs by giving you all of the tools that you need to create your business where wherever you are in the world and Shopify that's you sell stuff online or in person or across all of the major social platforms with Integrations for Google YouTube Facebook Instagram and Pinterest and many more and if you want to sell products it is a fantastic way of starting your first business or your side hustle without needing to worry about how to set up a checkout platform or how to manage the operations that comes with the faffy of selling stuff on the internet in our business we have personally used Shopify to sell our stationary products to sell our mechanical keyboards and we've also used Shopify to sell some of our digital products like our online courses if you are interested in checking out shop ify then head over to shopify.com Al abdal and that link is also in the video description and that'll let you sign up to a completely free trial of Shopify so that you can try it out and see if it Vibes with you so thank you so much to Shopify for powering our business and for sponsoring this video,Shopify,08:40,09:40,Shopify,Yes,"The ad explicitly mentions Shopify multiple times, clearly stating its sponsorship and providing a call to action with a specific URL.",9,7,8,8,7,Good
Ali Abdaal,https://www.youtube.com/watch?v=eJgcxYMhdoU,one of my favorite new tools that I'm experimenting a lot with for scheduling my time intentionally is reclaim.the automatically help build out your ideal week without spending more time in Google Calendar it also automatically reschedules stuff if you have any calendar conflicts which means you can stay flexible while hopefully making sure you never actually drop the ball now there are three features in particular that I've been playing a lot with recently firstly is the habits feature so these are daily non-negotiables that I want reclaimed to put in my calendar each day they've also got a really interesting tasks feature so essentially it's like a to-do list but you can Define tasks in different priorities and then based on the priority and the deadline and how much time the task will take it will automatically time block the task for you and then if you manage to do the task it goes off the list but if you don't manage to do the task in that time it will block it to another time based on like the AI algorith me thing and then the other nice thing is that reclaim can also add automatic flexible buffer times into your schedule in between stuff so if for example I have a personal trainer session after a meeting then it will automatically know that and it will figure out how much buffer time to put in my calendar reclaim also has a Time tracking feature that shows you how you're spending your time and personally me and my team are big advocates for time tracking so that you can really have that awareness of oh crap you know this is where I'm spending my time and this is where I want to be spending my time so if you're looking for a way to level up your time management game without spending more time fiddling around Google Calendar then I would recommend checking out reclaim and very excitingly you can get an extended 30-day trial of all the premium features when you sign up to the free plan with my link reclaimd that'll be linked down below as well it's a cool tool I'd recommend trying it out and seeing if it fits within your workflow so thank you so much reclaim for sponsoring this video,reclaim,07:15,08:52,reclaim,Yes,"The influencer explicitly mentions and describes the features of ""reclaim"",  clearly indicating the advertised product.",8,7,9,8,8,Good
The Diary Of A CEO,https://www.youtube.com/watch?v=19_sGcrsWhg,"I've invested more than a million pounds into this company Perfect Ted and they're also a sponsor of this podcast. I switched over to using matcha as my dominant energy source and that's where Perfect Ted comes in. They have the matcha powders, they have the matcha drinks, they have the pods and all of this keeps me focused throughout a very, very long recording day no matter what's going on and their team is obsessed with quality which is why they Source their ceremonial grade matcha from Japan. So when people say to me that they don't like the taste of matcha I'm guessing that they haven't tried Perfect Ted. Unlike low-quality matcha that has a bitter grassy taste Perfect Ted is smooth and naturally sweet and without knowing it you're probably a Perfect Ted customer already if you're getting your matcha at places like blank Street or Joe in the juice but now you can make it yourself at home so give it a try and we'll see if you still don't like matcha. So here's what I'm going to do I'm going to give you 40% off your matcha if you try it today head to perfectted.com and use code st40 or if you're in a supermarket you can get it at tescos or Holland and Barrett or in the Netherlands at Albert Heijn and those of you in the US you can get it on Amazon.",Perfect Ted Matcha,76:00,77:03,Perfect Ted,Yes,"The ad clearly and repeatedly mentions ""Perfect Ted"" as the product being advertised.  The description of matcha powder, drinks, and pods further solidifies the product identification.",7,6,7,8,7,Moderate
The Diary Of A CEO,https://www.youtube.com/watch?v=FjrJ2DJN_pA,"quick one I want to talk about something we all need to take seriously which is cyber security whether you're a first time founder facing your very first audit or a seasoned professional who's been through it all staying compliant is getting more critical than ever and more complicated I have to say and that is where vanta comes in who is a sponsor of this podcast vanta takes the pain out of security compliance automating the tedious but essential process of proving your business is secure across over 35 Frameworks like sock 2 ISO 271 centralize your workflows answer security questions up to five times faster and protect your business without losing focus on growth and this is really a critical part of this a new IDC white paper found that companies using vanta save over $535,000 a year and it pays for itself in just 3 months for a limited time my gets a $1,000 off vanta at vanta.com that's vanta.com for $1,000 off",Vanta,47:37,48:31,Vanta,Yes,"The influencer explicitly mentions ""Vanta"" as a sponsor and describes its features and benefits.  The product name is clearly stated.",8,7,7,8,6,Good
The Diary Of A CEO,https://www.youtube.com/watch?v=eOnIWDMNyfE,I was so impressed by Professor Tim Spectre and Professor Sarah Berry that I ended up investing in Zoe and they're now a sponsor of this podcast they help me to view my gut as the gateway to Better Health that when in balance my microbiome could strengthen my immunity elevate my mood and fight off disease which I now know to be true I trust zoee because they have one of the largest microbiome databases in the world and when you sign up you'll get one of the most scientifically Advanced atome test kits on the planet and a personalized nutrition program to help you make smarter food choices and because you're one of my listeners use code Steven 10 for 10% off your membership head to zoe.com,Zoe,116:14,116:52,Zoe,Yes,"The influencer explicitly mentions Zoe by name and describes its services (microbiome testing, personalized nutrition program).  The provided code ""Steven 10"" further confirms the advertisement is for Zoe.",8,7,9,7,6,Good
The Diary Of A CEO,https://www.youtube.com/watch?v=rDyTyppGxSg,one of the things that I think about all the time because my life is quite hectic and busy is how to manage my energy load and as a podcaster you kind of have to manage your energy in such a way that you can have these articulate conversations with experts on subjects you don't understand and this is why perfect Ted has become so important in my life because previously when it came to Energy Products I had to make a trade-off that I wasn't happy with typically if I wanted the energy I had to deal with high sugar I had to deal with Jitters and crashes that come along with a lot of the mainstream Energy Products and I also just had to tolerate the fact that if I want energy I have to put up with a lot of artificial ingredients which my body didn't like and that's why I invested in perfect Ted and why they're one of the sponsors of this podcast it has changed not just my life but my entire team's life and for me it's drastically improved my cognitive performance but also my physical performance so if you haven't tried perfect Ted yet you must have been living under a rock now is the time you can find perfect Ted at Tesco and waitrose or online where you can enjoy 40% off with code diary 40 at checkout head to perfect ted.com,Perfect Ted,101:00,101:53,Perfect Ted,Yes,"The influencer explicitly mentions ""Perfect Ted"" and provides a discount code and website URL.",8,7,9,7,6,Good
The Diary Of A CEO,https://www.youtube.com/watch?v=LiIs5X56JMI,"If you're an entrepreneur, you're probably going to want to listen to this. It's a message from one of our sponsors on this podcast, which is LinkedIn. If you've listened to me on this podcast for a while now, you'll know that I've been on a bit of an evolution as a business owner and entrepreneur, and one of those Evolutions that has become clearer and clearer as I've matured is that the single most important thing in building a business, in building a company, is hiring. The definition of the word company is actually a group of people, and that is the first responsibility and job that any entrepreneur has and should focus on. But surprisingly most don't. About 80% of my team have been hired from LinkedIn, and I think there's very few platforms, if any, in the world that could give you that diversity of candidate with that much information and data on their profiles. It usually costs money, but for the entrepreneurs that are listening to me, I've got you a free job ad post for your company on LinkedIn. Just go to linkedin.com/doac to post your free job ad today. That's linkedin.com/doac. Terms and conditions apply.",LinkedIn,84:21,85:18,Linkedin,Yes,The ad explicitly mentions LinkedIn as the sponsor and provides a direct URL for listeners to access a free job ad.,8,7,9,8,7,Good
Think School,https://www.youtube.com/watch?v=4_5Smu0YAxw,before we move on let me introduce the partner of today's episode which is Axis Max life insurance people uncertainties in life don't come with a prior warning the emotional loss is absolutely devastating but the financial burden it can push a family into crisis that's why access Max life insurance isn't just a policy it's a promise to protect your loved ones built on the trusted partnership between Max life insurance and access bank this plan ensures double protection and double the trust but what truly makes it stand out are the powerful benefits like the special exit value wherein you receive 100% of paid premiums back with no extra cost this means once your financial liabilities are over you can exit the policy additionally Smart Cover gives you the option to increase your life cover by 50% in the first 15 years this means your family will get 1.5x coverage ensuring Extra Protection for your loved ones and the best part is the 3-hour claims guarantee if you have an active policy that qualifies your claim will be processed and paid within just 3 hours this will ensure that your family receives financial support quickly without any delays and all of this comes at a cost of just 527 rupees per month for a 1 CR life cover so the real question isn't do you need a life insurance it is can your family afford to live without it so don't wait for it and click the link in the description and protect your family's future today,Axis Max Life Insurance,04:44,06:16,axis max life insurance,Yes,The extracted product name perfectly matches the expected product name.,7,6,7,8,5,Moderate
Think School,https://www.youtube.com/watch?v=aGVtLubW9q0,"this video is brought to you by Golden pie but more on this at the end of the video
[Music]
...people all the stock market investors after enjoying their Bull Run are now starting to face the brunt of the Fall inflation has crossed six percent and banks are eating away your wealth with low returns from fixed deposits which barely give out five to six percent returns so during uncertain Times Like These you need to play it smart and you need to diversify your portfolio into fixed income instruments like Bond so that even if the stock market goes down tomorrow your portfolio can provide you with stable returns even during recession bonds can give you a fixed return of up to 11 and as the interest payout happens in regular basis in monthly and quarterly formats investing in bonds will give you additional stable cash flow previously only the hnis had the privilege to invest in such high quality bonds but now Golden Boy is making bonds accessible to retail investors through user-friendly platforms golden pie is backed by xeroda and partner with access direct IFL Securities Bajaj financial securities limited five PESA and many other leading records and acts as a transparent marketplace with the largest range of bonds of all reputed institutions and this includes ndfcs Banks psus corporates Etc the good news is that you don't need lacks to invest in bonds and debentures and with golden buy you can start with just 10 000 rupees in case of NCD IPS and currently the edelwise financial services and muthur finance IPOs are live so if this sounds useful to you check them out from the special link in the description",GoldenPi,01:49,00:00,GoldenPi,Yes,The expected product 'GoldenPi' is explicitly mentioned multiple times in the extracted advertisement section.,7,6,7,8,5,Moderate
Think School,https://www.youtube.com/watch?v=I7vz7Ym82_4,This video is brought to you by wind wealth but more on this at the end of the video... wind wealth is a wonderful platform by which you can invest in bonds of nbfcs with strong backers and earn 9-11 percent interest. Now most of you might be investing in the stock market as a long-term investor but if you want to make steady returns for a short-term goal that's where wind assets can come in very very handy. The investment process is super simple you can see the asset page over here that has detailed information about the asset on the right hand side you can see a table by which you can determine how many units of the bond you want to buy and finally the payment process is also super easy you can pay by upi net banking or the wind wealth fund itself and that's it you are done. By investing in wind wealth you can earn returns that are higher than fd and at the same time not as volatile as stocks. Always remember you must also check out the risks explained on their website before deciding on your investment. wind wealth is backed by zero does rain matter kunal shah the ceo of cred and many more reputed investors and you can check them out from the special link in the description.,wind wealth,02:01,14:00,wind wealth,Yes,"The extracted ad text explicitly mentions and describes the product, 'wind wealth',  matching the expected product perfectly.",7,6,7,8,6,Moderate
