Influencer Name,Video URL,Advertisement Text,Product,Start Time,End Time,Expected Product,Match,Inference,Ad Naturalness,Persuasiveness,Trustworthiness,Ad Length & Placement,Engagement,Ad Classification
Think School,https://www.youtube.com/watch?v=G7Jyzj1FpnU,but before we move on let me thank our partners of today's episode which is ODU people managing sales can be overwhelming creating codes handling prizes and keeping track of products often turns into a chaotic mess now imagine a business owner stuck in the situation they saling team is buried in paperwork instead of focusing on what matters the most which is closing deals they need a solution to make their sales processes seamless and efficient and this is where ODU sales app can help you out ODU sales helps you streamline your sales process with odu's quotation templates making creating and sending professional codes is fast and effortless clients can review and approve them online through the customer portal saving time and speeding up the process which will help you close deals and make more money ODU makes invoicing absolutely effort L whether you need invoices based on delivered or ordered quantities down payments or proforma invoices Odo sales has all the options that you require with features like Priceless discounts and currency options you can create pricing strategies that fit your market and customers absolutely perfectly if you sell on platforms like Amazon or Ebay odu's dedicated connectors allow you to sync orders automatically Odo sales helps you save time boost revenue and stay organized ODU grows with your business allowing you to easily add new applications as your company expands and you know what the best part is odu's first application is free for life with unlimited I repeat unlimited hosting and support and you also get a free custom domain for a year so if you find this useful and if you want to boost your sales to make a lot of money use the link in the description and check out Odo,ODU,03:45,05:19,Odoo,No,"The influencer mentions ""ODU"" throughout the advertisement, which is a slight misspelling or a different product altogether than the expected ""Odoo"".  The description of the product's features strongly suggests it is a sales management software, similar to Odoo.",7,6,6,7,5,Moderate
Think School,https://www.youtube.com/watch?v=FoQR9rLpRy8,"but before we move on I want to quickly introduce you to our partners of today's episode which is scaler School of Business and they are bringing in something absolutely revolutionary people if India is to become a $ 30 trillion economy by 2040 it will need many more Visionary leaders like Elon Musk amitab Khan the EXC of nidi AOG recently stated that our education system has traditionally focused on students earning degrees rather than producing high quality talent and in the IIT curriculums need restructuring meanwhile companies like scaler are already helping res skill students which get them jobs with a median CSU of 25 lakh rupees so if you're seeking world-class business education you must check out scaler School of Business they offer a full-time oncampus 18-month PG program in management and Technology where you learn business Hands-On from the leaders who have built billion dollar companies like uber minra and McKenzie you know even the best Business Schools don't teach you how to build a business they only teach you business Concepts that is why scaler follows a practical First approach where students work on real world projects reviewed by CEOs themselves just imagine if you get the chance of presenting a tier three Market strategy to Uber India's CEO himself feels amazing right just like this as a part of the curriculum students also have to build a business take them to the market generate revenue and even raise VC funding all while studying on the campus in fact their first year students have already closed pre seed funding for their startups the best part is with over a decade of experience scaler has access to 1,200 plus industry Partners boasting placement rates of 96% and a median CDC of 25 lakh rupees perom last year the program received over 1,000 plus applications with a 4% acceptance rate and students came from Top firms like Deo ebi Amazon and Uber and now their next batch launches in July in Bangalore so applications are now open and you can receive scholarships up to 1 100% so if you find this interesting apply for Scala School of Business through the link in the description or in the pinned comment section below",Scaler School of Business,04:08,06:07,Scaler school of business,Yes,The extracted product name perfectly matches the expected product name.,7,8,7,8,7,Moderate
Hyram Yarbro,https://www.youtube.com/watch?v=Uhbf9oJ9NCs,but as we jump into this video I do want to say that today's video is thankfully sponsored by style vanana if you're not familiar with style vanana I've worked with them many times in the past because they have every single Korean skincare product you can think of there are so many incredible products that are super popular in Korea but are incredibly difficult to find anywhere else in the world and Stana picks those products from Korea and ships them directly to you so that you can get access to some of the world's best formulas delivered straight to your door they have literally everything so if you're interested in shopping any of the products that I'm mentioning in today's video you can go to the description box where I'll have all the product links down there to styleana and styleana is offering the special discount code for my followers only so that means you,Stylevana,00:28,01:07,Stylevana,Yes,The influencer explicitly mentions Stylevana as the sponsor and directs viewers to the description box for product links and a discount code.,9,7,8,9,7,Good
Hyram Yarbro,https://www.youtube.com/watch?v=V4GLqNOIysw,I first want to talk about an at home laser treatment that I have been doing twice a day for the past 45 days and is the sponsor of today's video nerra thank you nerra for sponsoring this video you guys this might be the most excited I think I've ever been for a sponsorship for the past 45 days I have been using the Nero Pro Laser which is a non-fractional laser that helps to stimulate collagen production in the skin helped to reduce the appearance of fine lines and wrinkles and helps to improve the overall texture and Radiance of the skin the reason I became so fascinated with Nera is because of the non-fractional Laser Technology in office provided by dermatologists there are non-fractional and fractional laser treatments that you can get done to resolve all those issues that I just explained collagen skin elasticity fine lines and the Nera uses precise Laser Technology to Target the dermis in a way that will help to increase collagen production without the pain or downtime that you oftentimes get in a clinical and office environment this in so many ways mirrors what you can get done in office but at a significantly less intense level which means that you can use the neural Laser Technology every single day for long-term results as opposed to really intense painful and very expensive in office treatments now the the Pro Laser is FDA cleared and there's clinical studies to show that it helps to minimize the appearance of fine lines and wrinkles in the face but unlike a Retinol Serum or exfoliating product it uses non-fractional lasers to Target the skin at a deeper level to increase that collagen production and I want to talk about my experience and results because I have been absolutely blown away to the point that I'm like I am going to use this every single day for the rest of my life over the past month of using this I had not seen my best friend for a month who I'm used to seeing him like every single day obviously the skin takes a while to regenerate itself so I wasn't expecting any mind-blowing differences within just a month but once I saw him again the first thing he told me was Iram you look younger what have you been doing this is someone I've known for the past 10 years and is always ready to make a joke about my aging skin and for him to say I look younger when the only thing I've been doing differently is using this he immediately wanted to start using the device and that's when for me I was like oh this works the technology is actually effective now as someone who has very reactive skin and tends to get very red the burn I have never noticed any redness sensitivity or irritation after using the device even at the strongest level when using the device it heats up the skin but by the third day of using it I already increased it to the highest intensity with no discomfort or pain I start my day by using the Nero Pro on my freshly clean dry skin and one thing I love about it and I think the reason I have been able to maintain using it twice a day is that it's so quick and easy to use my entire face takes about 5 minutes and then I'm done now because of our Skin's regeneration timeline it typically takes about 60 to 90 days of continued use to notice optimal results but as I've use this twice a day I've noticed that my skin just looks more bouncy more hydrated more refreshed and of course I do want to say an at home laser device by no means will compare to the results that you can get from an intense and office treatment provided by a dermatologist that has downtime however the N device is amazing for getting that daily laser treatment and maintaining the health of your skin while also preventing long-term deep set damage that an in-office treatment would Target and as you'll see later in the video it is a fraction of the cost that you would be paying for regular in office laser treatments I think near Laser Technology is so fascinating and such a great way of maintaining the health of your skin and getting that daily treatment that can help to prevent unnecessary long-term damage that you would need to dish out thousands and thousands of dollars for down the road it's a great maintenance and preventative step to ensure the health of your skin while getting those laser results if you want to learn more about the Nero Laser Pro device as well as their other devices I will have their links in the description box below and all the rest of the information there for you to start your at home laser journey,Nira Pro Laser,1:46,5:38,Nira,Yes,"The influencer clearly mentions and describes the ""Nira Pro Laser"" multiple times throughout the identified segment.  The brand name ""Nira"" is explicitly stated as the sponsor.",9,8,9,8,9,Good
Hyram Yarbro,https://www.youtube.com/watch?v=xKDKdIZC_j8,"I also want to say that the product links for this video have been sponsored by iHerb. I chose all the products myself, I had full control over them, but if you aren't familiar with iHerb, they are an incredible website with one of the biggest selections of Korean skincare products in the USA that I've ever seen. Like their selection is truly amazing. Some of the products they have are like brand new, released in Korea, but they also have so many different types of beauty and health products like supplements, hair care, protein powder, like they have it all. So if you want to get any of the products that I'm talking about in today's video, all of the iHerb links will be listed down below. And thank you iHerb for sponsoring the links in this video.",iHerb,1:08,1:40,iHerb,Yes,The influencer explicitly mentions iHerb as the sponsor and provides a clear description of the website and its offerings.  The mention is direct and unambiguous.,9,7,8,9,7,Good
Hyram Yarbro,https://www.youtube.com/watch?v=mUtrucc4cq8,"Credo Beauty has also sponsored the links on this YouTube video. I chose all my own products. I've been wanting to test these for a while, but if you're interested in getting any of these, all the product links will be in the description box below and be sure to check out Credo Beauty because they have a huge selection of high-quality skincare, makeup, face tools, a bunch of good stuff on their website. So thank you Credo for sponsoring the links.",Credo Beauty,00:34,00:55,Credo Beauty,Yes,The influencer explicitly mentions Credo Beauty as the sponsor and directs viewers to their website for product links.,9,7,8,9,8,Good
Hyram Yarbro,https://www.youtube.com/watch?v=6zpEBAnYf4g,this video is also sponsored by style vanana if you have ever gone shopping for Korean skincare I'm sure you've seen style they make it so easy by taking products that are typically only found in Korea or are sold in Korea at a much lower price than what you find in other countries and they ship them overseas to you I love Stana because they have a huge range of amazing Korean skincare products at such low prices that's why I'm always linking them cuz I'm like dang I want you guys to get the best deals and stalon always has them them whether it's beauty of Joan skin 10004 I'm from some by me they have so many different brands that you can shop from and as a special gift to you guys they're giving my followers a special discount code that will get you 22% off of your order and a free gift and you're definitely going to want to take advantage of it so you can use the code INF F10 Hyrum thank you so much Stana for sponsoring this video and let's get on to the amazing Korean skincare products,Stylevana,1:02,1:51,Stylevana,Yes,The influencer explicitly mentions Stylevana as the sponsor and details the discount code and free gift offered to viewers.,9,8,9,8,7,Good
Bethany Mota,https://www.youtube.com/watch?v=mcDB4pqLhfI,if you are new here and I'm familiar with thredup they are an online consignment and thrift store they have pretty much any brand you can think of and so many different styles that will appeal to everyone's fashion taste my favorite part about thredup is the search engine because it is so easy to find exactly what you're looking for whether it's a certain color a certain size sometimes when I'm shopping on thredup I will just kind of let the energy take me and just find things that I didn't even know I was looking for but it is nice to know that you can specify exactly what you're looking for and get a lot of options for that and you get to do it from your bed which is my favorite part because I can get a little overwhelmed when I'm thrift shopping in person so I appreciate the virtual experience I'm going to show you guys some things that I got from thredup for the holiday season that I'm going to be wearing this month because they're really cute first up I got this LBD this is from the brand Reformation love Reformation but I got such a good deal on this dress from thredup it has an estimated retail of 212 dollars and I got it for 69.99 okay let's take a second to admire the way this fits she's ready for a holiday party imagine me well not like that I don't dance like that I also have this coat that I already had in my closet which would be perfect for like the chilly nights and I've used these shoes a lot before but they are my go-to little black heels that is so cute and another staple piece I got this long sleeve top it has a little bit of a lace detail along the neckline this is from J.Crew estimated retail of seventy dollars and I got it for 13.99 here is the top it looks so good on I think this might be my new favorite staple top okay so I have been wanting like some leather Square toed boots for so long I feel like they're such a classy girl thing and sometimes I want to be a classy gal I found these they're from the brand Nine West estimated retail of 127 dollars I got them for 44.99 doll hairs I got this J crew denim jacket it's just a button up it has little pockets on the sides I felt like this was kind of a more relaxed version of like a denim jacket that's more structured and bulky the fabric is actually super light and thin this has an estimated retail of a hundred and thirty seven dollars and I got it for 32.99 on thredup I'm adding the jacket to this outfit that's cute I love this jacket the pockets are such a nice touch because I feel like it gives it a more like classy like elevated Vibe I added the little boots I also had to pick up a nice little scarf this is from Gap body estimated retail 25 and I got it for 14.99 the color is neutral so it can go with a lot of things I find that I kind of just stick to like one or two scarves for the winter time okay also this top looks great with a little skirt a skirt moment so we're gonna add the scarf to this look and I am ready for a holiday night out so if you would like to get some goodies on thredup you can use my code Bethany in all caps for 30 off your first purchase I will have a link down below so you can click that and go and get yourself some goodies,Thredup,07:51,11:10,Thredup,Yes,The influencer explicitly mentions Thredup as the sponsor and provides a discount code for viewers.,9,8,9,8,9,Good
Bethany Mota,https://www.youtube.com/watch?v=yzsEnpnI-vA,huge thank you to YouTube for sponsoring this video,YouTube,00:04,00:07,YouTube,Yes,The influencer explicitly thanks YouTube for sponsoring the video.  This is a clear and direct mention of the advertised product.,9,7,8,10,7,Good
Bethany Mota,https://www.youtube.com/watch?v=Xenj_fx4w2E,you've heard me say this before thredup is one of my favorite ways to shop online they are an online consignment and thrift store they offer so many different styles every brand you can think of and obviously very amazing deals not only is it very user friendly in the way that you can search for things and find exactly what you want on the site my favorite part about thredup is that I can purchase things from brands that I already know that I love for obviously a very good discounted price and because everything is thrifted I feel like there's this built-in uniqueness and one-of-a-kind aspect that always comes with thrift shopping I feel like since I've been online thrift shopping more I've developed much more of a distinct personal style so with that said I'm going to show you guys some of the things that I am adding to my fall wardrobe this year everything from thredup including this sweater I'm going to show you how I styled it let's go off number one she's Gorge love this a little Disney fall moment so this sweater is from Zara and it has an estimated retail of 51 but I got it for 22.99 on thredup be ready to get sick of me wearing this because you're gonna see it a lot I also like that the fabric of this is still kind of light like it's not too thick that I'm gonna get very hot because I do live in California and California is Little Miss one season all year round so with this outfit I paired these stretchy plaid printed pants which are also very comfortable so these pants are from Urban Outfitters they have an estimated retail of 64. and I got them for 15.99 on threda thredup get out of here don't get out of here love you because these deals loving that like I just feel ready to go to like an apple orchard I also just paired this look with some white platform sneakers because I just moved and I don't know where any of my shoes are so this is what we're working with okay this one might be my favorite I am obsessed with this sweater I feel like it's very flattering as well I think it's the neckline it kind of is like a boat neck not really sure if that's what it is whatever it's gorgeous so this Michael Kors long sleeve has an estimated retail of 241 dollars and I got it on thredup for 58.99 and then I just paired it with this skirt it's like a little denim cut off skirt with little roses all over it and I paired that with some more sneakers once again limited on shoes shoes check this one out look at me I look like a lady me a woman this I've Never Been So Posh this was a wild card for me I was like this is really not like me but we're gonna go for it so this is a Club Monaco dress it has an estimated retail of 246 dollars and I got it for 42.99 and then I paired it not with sneakers this time lock heels I feel like I'm ready for a dinner like give me some wine a croissant a baguette something so if you would like to get 35 off your first purchase on thredup as well as free shipping then you can use my code Bethany in all caps to get you some cool stuff for the fall time I will have a link below so click that use my code and get you some cool stuff  if you would like to get some goodies on thredup just use my code Bethany in all caps for 30 percent off your first purchase and free shipping and thank you so much to thredup for sponsoring today's video,Thredup,04:22,14:21,Thredup,Yes,The influencer repeatedly mentions and showcases items purchased from Thredup throughout a significant portion of the video.  The discount code provided further confirms the advertisement is for Thredup.,9,8,9,8,9,Good
Bethany Mota,https://www.youtube.com/watch?v=yeWH2hxsB8Y,okay so i wanted to take a quick second to give a shout out to today's sponsor cvs as well as show you a little spontaneous cvs haul because since i knew i was doing this 24 hour reading challenge i wanted to get a few things to prep not that i really needed anything to prep but i always end up finding something that i need so you guys already know that i am a huge fan of the cvs care pass membership program it's five dollars a month or 48 dollars annually and it quite literally saves you so much time and money we love that also your first month is completely free when you sign up so you can sign up at your local cvs store or online and if you've heard me talk about the membership before then you probably already know the benefits you get free prescription delivery free one to two day shipping on eligible cvs items access to a 24 7 pharmacist helpline 20 off all cvs health and live better products stop right there this is my favorite benefit simply because they carry so many of the items that i basically have to keep restocking such as i got this little mini first aid kit from my car like she's safe she's prepared got a wound i can fix it i also got the cvs health vitamin c orange flavored drink packets and because those are both cvs health products i got 20 off but along with all of those perks care pass members also receive a monthly 10 bonus reward that you can use online or in store to get whatever else you want i got a fun thing my current fixation is headbands that i can wear when i'm doing my makeup and skincare and they had this minnie mouse one my willpower left the building i got some face masks and to potentially help with my reading experience i got this neck pillow and some apple chips for a little snack so i'm gonna have a link down below if you would like to sign up for the cvs care pass membership program also your first month is completely free so enjoy,CVS CarePass Membership Program,02:54,04:40,CVS Pharmacy,Yes,"While the specific product advertised is the CVS CarePass membership, it's a service offered by CVS Pharmacy, making the match accurate.",8,7,8,7,9,Good
Bethany Mota,https://www.youtube.com/watch?v=CVLEXwppll8,thredup is the sponsor of today's video thredup is an online consignment and thrift store that offers so many different brands so many different styles and you can get up to 90 off the items on their site they've also built the site to really cater to the customer because it is so easy to find exactly what you're looking for by using all of the search tools another great feature on their site is you can shop by certain outfits so you can go to this tab and find an outfit that you really like you can click on each individual piece in the photo and then it instantly brings up tons of similar options that are available on the site and i'm gonna show you guys what i got as well as my options for today so we could pick out my outfit ... if you want to get some goodies of your own on thredup you can use my code moda35 for 35 off your first purchase go get some deals because look at this ... once again thank you to thredup for sponsoring today's video be sure to use my code moda35 for 35 off your first purchase and free shipping you could get cute little things like this,Thredup,03:08,10:16,Thredup,Yes,"The influencer explicitly mentions Thredup as the sponsor and repeatedly promotes the platform, its features, and a discount code throughout the segment.",8,7,8,7,9,Good
